#m;
# 孤独なふりをしてるの?
1,64,2
3,63,2
5,57,3
5,59,3
8,61,5
8,52,5
16,61,1
17,63,1
18,64,2
18,56,2
21,64,2
21,61,2
23,64,1
23,61,1
24,66,1
25,63,5
25,54,5
# なぜだろう
30,64,2
30,59,2
32,63,2
32,54,2
34,57,3
34,59,3
37,61,5
37,52,5
# 気になっていた
42,64,1
43,66,1
44,68,5
44,59,5
49,69,1
49,66,1
50,68,1
50,64,1
51,66,3
51,63,3
# 気づけば
54,64,2
54,59,2
56,63,2
56,54,2
58,57,3
58,59,3
61,52,5
61,57,5
61,61,5
# いつのまにか
66,61,1
66,57,1
67,63,1
67,59,1
68,64,2
68,61,2
68,56,2
71,64,2
71,56,2
73,64,1
73,56,1
74,66,1
74,61,1
75,63,5
75,54,5
# 誰より惹かれていた
80,64,2
80,59,2
82,63,2
82,54,2
84,57,3
84,59,3
87,52,5
87,57,5
87,61,5
92,64,1
92,57,1
93,66,1
93,59,1
94,59,5
94,64,5
94,68,5
99,59,1
99,69,1
100,68,1
100,64,1
101,66,5
101,63,5
# どうすれば この心は
108,64,2
108,61,2
110,63,2
110,57,2
112,64,2
112,61,2
114,63,3
117,59,5
117,54,5
124,66,2
124,63,2
126,63,2
126,59,2
128,66,2
128,63,2
130,66,3
130,61,3
133,64,1
133,56,1
134,64,4
134,56,4
# 鏡に映るの?
140,66,1
141,66,2
143,68,1
144,69,2
146,69,3
146,66,3
146,61,3
149,68,3
149,63,3
149,61,3
152,66,2
152,61,2
152,57,2
154,68,4
154,61,4
# 届かない恋をしていても
158,66,3
158,61,3
161,68,3
161,64,3
164,64,2
166,66,3
166,63,3
169,68,3
169,59,3
172,71,2
174,59,6
174,63,6
174,66,6
180,63,1
181,59,1
182,63,1
182,56,1
183,64,1
183,61,1
184,66,1
184,63,1
185,64,5
185,61,5
# 映しだす日がくるかな
190,66,3
190,57,3
193,68,3
193,61,3
196,64,2
198,66,3
198,63,3
201,68,3
201,59,3
204,71,2
206,66,5
206,56,5
211,64,1
212,63,1
213,64,4
# ぼやけた答えが 見え始めるまでは
217,61,2
217,56,2
217,52,2
219,63,1
220,64,1
221,61,1
222,66,3
222,61,3
225,68,3
225,64,3
228,64,2
230,66,3
230,63,3
233,68,3
233,59,3
236,71,2
238,59,5
238,63,5
238,66,5
243,63,1
244,59,1
245,63,1
245,56,1
246,64,1
246,61,1
247,66,1
247,63,1
248,64,5
248,61,5
# 今もこの恋は
256,64,2
258,63,1
259,64,1
260,66,4
260,63,4
264,68,3
264,59,3
267,71,2
269,66,3
269,61,3
269,56,3
272,68,7
272,64,7
# 動き出せない
282,64,2
284,63,1
285,64,1
286,66,6
286,63,6
292,64,1
293,63,1
294,61,9
294,56,9
294,52,9
